slipstream	0000011101	6
wing	0000011100	4
lift	000001010101	4
experiment	00000101010001	3
differ	00010100	3
destal	101	3
investig	00001	2
aerodynam	000001011	2
made	0000010101001101000	2
due	00000101010010	2
part	110	2
evalu	0000010101001111	2
increment	00000101010011011	2
effect	00000101011	2
brenckman	000001010000	1
ae	000001010001	1
sc	0000010101001110	1
studi	0000010101001100	1
propel	010	1
order	000001101100	1
determin	0110	1
spanwis	00000101001	1
distribut	00100	1
increas	000001101111	1
angl	10000	1
attack	001010	1
free	00010000	1
stream	00000101010011010010	1
veloc	0001011110	1
ratio	000110	1
result	000101011	1
intend	0001010100	1
basi	001011	1
theoret	0000011000	1
treatment	000001000	1
problem	000001001	1
compar	00010110	1
span	000001101110	1
load	1110	1
curv	0001001	1
togeth	0000011001	1
support	0001011111	1
evid	001110	1
show	00010001	1
substanti	1001	1
produc	000001101101	1
boundarylayercontrol	000000	1
integr	000001111	1
remain	000101110	1
subtract	0001010101	1
found	0111	1
agre	000111	1
well	1111	1
potenti	0000011010	1
flow	00000101010000	1
theori	001111	1
empir	00000101010011010011	1
specif	000001010100110101	1
configur	00110	1
experi	10001	1
